Base Set,,,
,,,
200 cards,,,
Parallels,,,
,,,
Purple Foil /299,,,
Fuchsia Foil /199,,,
Sparkle Foil /175,,,
Blue Foil /150,,,
Green Foil /99,,,
Aqua Foil /75,,,
Gold Foil /50,,,
Orange Foil /25,,,
Red Foil /10,,,
FoilFractor /1,,,
,,,
PDC-77,Robert Calaz,Fresno Grizzlies,
PDC-79,Kaelen Culpepper,Cedar Rapids Kernals,
PDC-80,Theo Gillen,Charleston Riverdogs,
PDC-82,Herick Hernandez,FCL Braves,
PDC-83,Billy Amick,Fort Myers Mighty Mussels,
PDC-84,Braden Montgomery,Kannapolis Cannon Ballers,
PDC-85,Jeremy Rodriguez,FCL Mets,
PDC-86,Rikuu Nishida,Birmingham Barons,
PDC-88,Carter Mathison,Clearwater Threshers,
PDC-89,Jac Caglianone,Quad Cities River Bandits,
PDC-91,Juan Baez,Carolina Mudcats,
PDC-92,Christian Moore,Rocket City Trash Pandas,
PDC-93,Brody Brecht,ACL Rockies,
PDC-94,JJ Wetherholt,Palm Beach Cardinals,
PDC-95,Emiliano Teodo,Frisco RoughRiders,
PDC-97,Cody Freeman,Frisco RoughRiders,
PDC-98,Boston Baro,Brooklyn Cyclones,
PDC-99,Kellon Lindsey,ACL Dodgers,
PDC-100,Travis Bazzana,Lake County Captains,
PDC-105,Rodney Green,Stockton Ports,
PDC-106,Nathan Flewelling,FCL Rays,
PDC-107,Kevin McGonigle,West Michigan Whitecaps,
PDC-108,Thayron Liranzo,West Michigan Whitecaps,
PDC-109,Sam Antonacci,Kannapolis Cannon Ballers,
PDC-110,Kavares Tears,ACL Padres,
PDC-111,Cole Fontenelle,Rocket City Trash Pandas,
PDC-112,Kyle Henley,Daytona Tortugas,
PDC-115,Dylan Dreiling,Hub City Spartanburgers,
PDC-117,Esteban Gonzalez,Lake County Captains,
PDC-120,Zander Mueth,Bradenton Marauders,
PDC-121,Jared Serna,Jacksonville Jumbo Shrimp,
PDC-122,Bryce Rainer,FCL Tigers,
PDC-123,Seaver King,Fredericksburg Nationals,
PDC-124,Bernard Moon,Daytona Tortugas,
PDC-125,Ryan Stafford,Aberdeen IronBirds,
PDC-129,Kash Mayfield,ACL Padres,
PDC-131,Jared Sundstrom,Arkansas Travelers,
PDC-132,Braylin Morel,ACL Rangers,
PDC-134,Carson Rucker,FCL Tigers,
PDC-136,Cam Smith,Corpus Christi Hooks,
PDC-137,Lisbel Diaz,San Jose Giants,
PDC-138,Franklin Arias,Salem Red Sox,
PDC-139,Zyhir Hope,Rancho Cucamonga Quakes,
PDC-141,Ryan Campos,Palm Beach Cardinals,
PDC-142,Eddie Rynders,FCL Pirates,
PDC-143,Nate Nankil,Lansing Lugnuts,
PDC-144,Drew Beam,ACL Royals,
PDC-145,Blake Wright,Fresno Grizzlies,
PDC-147,Nick Montgomery,FCL Braves,
PDC-148,Bryce Cunningham,FCL Yankees,
PDC-149,Nick Mitchell,Lynchburg Hillcats,
PDC-151,Jamie Ferrer,Fort Myers Mighty Mussels,
PDC-152,Carson DeMartini,Clearwater Threshers,
PDC-153,Eli Serrano,St. Lucie Mets,
PDC-154,Chase Davis,Springfield Cardinals,
PDC-155,Echedry Vargas,Beloit Sky Carp,
PDC-158,Yohandy Morales,Harrisburg Senators,
PDC-159,Charlee Soto,Fort Myers Mighty Mussels,
PDC-160,Caleb Durbin,Nashville Sounds,
PDC-161,Ronny Hernandez,Kannapolis Cannon Ballers,
PDC-162,Jonathon Long,Knoxville Smokies,
PDC-163,PJ Morlando,Jupiter Hammerheads,
PDC-165,Ty Southisene,ACL Cubs,
PDC-166,James Tibbs III,Eugene Emeralds,
PDC-167,Chase Harlan,ACL Dodgers,
PDC-168,Ryan Waldschmidt,Visalia Rawhide,
PDC-169,Chase Burns,ACL Reds,
PDC-172,Pablo Guerrero,Hub City Spartanburgers,
PDC-173,Eduardo Tait,Clearwater Threshers,
PDC-174,Luis Baez,Corpus Christi Hooks,
PDC-175,Tyson Lewis,ACL Reds,
PDC-176,Cole Messina,Spokane Indians,
PDC-178,Blake Burke,Wisconsin Timber Rattlers,
PDC-179,Hyun-Seok Jang,Rancho Cucamonga Quakes,
PDC-180,Gage Miller,Beloit Sky Carp,
PDC-181,Aidan Smith,Bowling Green Hot Rods,
